tick,tweet_sentiment,reach,engagement
16,0.0562980063259601,0.006697189338822547,0.0354085406007801
25,0.1350730657577514,0.05588158961262941,0.004204447596373031
6,0.6731271147727966,0.35233238002197936,0.0006585279367813181
18,-0.5172919631004333,0.005920174294882867,0.03890380426523479
24,0.0027411989867687,0.0014236467346679692,0.16159262448710804
23,0.0369354486465454,0.010042424080619375,0.02289650980193506
32,0.1870620548725128,0.004943833815437541,0.04640089154551441
24,0.0623689293861389,0.025043229555158298,0.009016767134390355
2,0.1788426041603088,0.013564717926812058,0.016615166404944023
13,0.0634516179561615,0.020386279072681774,0.011043006939871335
23,-0.5010175704956055,0.009277922496822143,0.023960285699812574
21,0.8598889112472534,0.0055171282753164646,0.03991692416797528
18,0.0363999381661415,0.0118683722022473,0.018540094220150957
34,0.2243584245443344,0.0023506053590663834,0.09300440707157692
32,0.5876169204711914,0.0062917278037279215,0.03444607669317664
36,0.3667716681957245,0.02421214691928237,0.008915455144116307
13,0.1995493471622467,0.002753887481654341,0.07765564054505851
31,-0.791313886642456,0.009191654085099884,0.02325110176789423
20,0.0152931474149227,0.019775171805812165,0.010333823007952991
15,0.077439434826374,0.013030235171322709,0.015399422521655439
24,-0.3406931161880493,0.016077507899916292,0.01236006281343397
24,0.8383806347846985,0.18591340358669547,0.0010637758978775138
5,0.0319994166493415,0.04391280097913739,0.004407071576921128
18,0.029304901137948,0.02404947193743052,0.007952991236512842
29,-0.1657659262418747,0.008809112704867046,0.021680765918646473
21,0.0612430647015571,0.05588149880377496,0.0033939516741806394
32,-0.0276716835796833,0.004943833815437541,0.038346588318727524
16,0.172740027308464,0.036665291820610374,0.005166911503976496
13,-0.0853192806243896,0.008861364119714403,0.021376829947824326
1,0.5246019959449768,0.18591365785148792,0.0010131199027404894
5,-0.7165715098381042,0.16819345409821268,0.0011144318930145383
12,-0.4110995233058929,0.055881371671378736,0.0033432956790436148
4,0.1431891471147537,0.011944996713627557,0.015500734511929487
4,0.2922328114509582,0.00908533507831628,0.020363710045083836
28,-0.0674051940441131,0.055881607774400294,0.00329263968390659
24,0.3003778159618377,0.00311928415016806,0.05850767438326326
14,0.0331392735242843,0.0041131325767502815,0.04310825186160782
16,0.0412086360156536,0.05588138983314963,0.003140671698495517
28,-0.0600098893046379,0.043913309508722284,0.003951167620687908
26,0.0663172379136085,0.003081543990260932,0.056278810597234184
12,-0.5035378336906433,0.01109135715830762,0.015450078516792462
10,0.0222556237131357,0.03943804938221828,0.00430575958664708
3,-0.0188521575182676,0.0071550294211607515,0.023656349728990427
30,-0.0198684930801391,0.18319712913255204,0.0009118079124664405
29,0.1133478879928588,0.006581625990656495,0.025226685578238185
3,-0.2783146500587463,0.01414691165442654,0.011701534876652651
20,0.3050055205821991,0.0022512423105332277,0.07279266501190416
29,0.0066955983638763,0.006248212200678124,0.026037181500430575
23,0.0276867989450693,0.010608562802768071,0.015298110531381389
14,0.6057132482528687,0.05588142615669141,0.0028873917228103944
1,0.3103716671466827,0.01781796856597018,0.008814143153842257
35,-0.1030336320400238,0.006248230362449013,0.025125373587964135
34,-0.6622653603553772,0.03483356825583978,0.004457727572058153
28,0.0452078655362129,0.019653742205649,0.007851679246238792
22,0.0094249751418828,0.004071978003916041,0.03606706853756142
26,0.254354327917099,0.003981005693533556,0.036219036522972495
31,-0.4245299696922302,0.004004870260481567,0.035813788561876295
15,0.0151035171002149,0.0048989560795710775,0.02892457322324097
21,-0.2183244675397873,0.04204235651883167,0.00329263968390659
33,0.0862181857228279,0.09308307139519269,0.0014690238589737095
11,0.0762970969080925,0.0029706845407551047,0.04589433159414417
21,-0.030346468091011,0.0027935164657339143,0.04822450737044729
12,0.1134963259100914,0.05588135350960785,0.00238083177144015
25,0.0854514017701149,0.0027351263723261105,0.048477787346132416
24,0.0024201720952987,0.007288173363547255,0.018185502254191785
26,-0.8070154190063477,0.03483347744698534,0.0037485436401398105
1,0.0751685872673988,0.034832968917400446,0.003697887645002786
14,0.0144628603011369,0.025010465720474728,0.0050655995137024465
12,0.0255532059818506,0.0016667965233285223,0.07552808874930347
25,-0.001020485535264,0.0020703873960215913,0.06058457018388126
